Rank,Team,League,xG vs Avg,xGC vs Avg,Off Score,Def Score,Fin Score,Perf Score,Final Rating
1,Arsenal,Premier League,1.69,0.77,64.85,72.95,100.0,137.81,126.46
2,Manchester City,Premier League,1.82,1.15,70.57,55.1,99.59,125.66,117.84
3,Liverpool,Premier League,1.76,1.2,67.82,52.7,99.09,120.52,114.09
4,Chelsea,Premier League,1.63,1.22,62.92,51.92,98.9,114.84,110.06
5,Bournemouth,Premier League,1.43,1.21,62.75,52.5,92.91,115.25,108.55
6,Brighton,Premier League,1.35,1.15,58.9,54.77,94.03,113.67,107.78
7,Manchester United,Premier League,1.49,1.34,65.38,46.41,96.89,111.79,107.32
8,Aston Villa,Premier League,1.32,1.16,58.05,54.46,95.07,112.51,107.28
9,Brentford,Premier League,1.37,1.23,60.44,51.75,92.96,112.19,106.42
10,Newcastle,Premier League,1.42,1.33,62.0,46.64,96.17,108.64,104.9
11,Crystal Palace,Premier League,1.25,1.21,54.65,52.21,93.6,106.87,102.89
12,Leeds,Premier League,1.25,1.27,54.83,49.31,90.95,104.15,100.19
13,Fulham,Premier League,1.23,1.3,53.69,47.85,91.92,101.54,98.65
14,Everton,Premier League,1.12,1.23,48.78,51.36,92.54,100.15,97.87
15,Tottenham,Premier League,1.27,1.5,55.84,40.61,97.86,96.45,96.87
16,Nottingham Forest,Premier League,1.11,1.31,48.07,47.48,95.43,95.55,95.51
17,West Ham,Premier League,1.14,1.52,49.73,40.09,92.6,89.82,90.65
18,Sunderland,Premier League,0.96,1.28,40.19,48.95,90.78,89.14,89.63
19,Burnley,Premier League,0.93,1.31,38.92,47.48,88.64,86.4,87.07
20,Wolves,Premier League,0.92,1.68,38.12,35.34,91.71,73.46,78.93
21,Coventry,Championship,2.05,0.89,80.78,62.02,96.22,142.8,38.65
22,Bristol City,Championship,1.39,1.13,61.28,56.17,94.1,117.45,33.13
23,Middlesbrough,Championship,1.18,0.92,52.08,60.87,96.55,112.95,32.41
24,Leicester City,Championship,1.28,1.24,56.37,51.15,99.4,107.52,31.53
25,Blackburn,Championship,1.17,1.08,51.32,59.29,90.77,110.6,31.4
26,West Brom,Championship,1.12,1.07,48.67,59.4,95.14,108.07,31.26
27,Birmingham,Championship,1.06,1.04,45.6,61.44,96.52,107.04,31.16
28,Stoke,Championship,1.15,1.14,50.66,55.68,93.35,106.34,30.73
29,Watford,Championship,1.22,1.22,53.97,52.03,93.23,106.0,30.65
30,Ipswich Town,Championship,1.18,1.3,51.82,48.0,100.0,99.83,29.96
31,Millwall,Championship,1.09,1.15,47.51,55.46,92.36,102.97,29.94
32,Swansea,Championship,1.04,1.12,44.51,57.0,94.38,101.51,29.81
33,Charlton Ath,Championship,0.94,0.95,38.81,65.44,84.62,104.24,29.51
34,Preston,Championship,1.05,1.14,45.1,55.82,90.96,100.91,29.38
35,Hull,Championship,1.26,1.55,55.43,39.24,93.41,94.67,28.29
36,Portsmouth,Championship,1.04,1.26,44.98,50.41,89.87,95.39,28.12
37,Norwich,Championship,1.22,1.54,53.33,39.16,96.55,92.48,28.11
38,QPR,Championship,1.05,1.27,45.03,49.54,91.45,94.57,28.09
39,Oxford,Championship,1.09,1.38,47.16,44.89,89.99,92.05,27.43
40,Wrexham,Championship,1.33,1.81,57.55,31.98,93.44,89.53,27.21
41,Sheffield Utd,Championship,0.89,1.27,36.63,49.41,98.05,86.04,26.89
42,Southampton,Championship,1.1,1.6,47.41,37.52,99.79,84.93,26.82
43,Derby,Championship,0.85,1.23,34.83,51.63,92.59,86.46,26.49
44,Sheffield Wednesday,Championship,1.09,1.75,47.29,33.77,85.18,81.06,24.69
