Pos,ID,Name,BV,SV,Team,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
D,14,Kacurri,3.9,3.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,15,Nichols,3.7,3.7,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,16,Saka,9.8,9.8,Arsenal,78,4.86,74,5.52,0,0.00,72,5.75,69,7.21,65,1.33,67,5.14,65,6.90,66,3.43,63,4.06,0.01
M,17,Ødegaard,7.8,7.8,Arsenal,42,2.25,44,2.72,0,0.00,62,3.84,60,5.15,60,0.98,59,3.56,57,4.82,57,2.29,59,3.12,0.00
M,18,Madueke,6.8,6.8,Arsenal,27,1.59,28,1.90,0,0.00,29,2.03,32,3.18,37,0.67,34,2.24,36,3.36,36,1.66,38,2.18,0.00
M,19,Martinelli,6.8,6.8,Arsenal,24,1.51,22,1.57,0,0.00,26,1.96,28,2.88,26,0.50,29,2.00,30,2.95,29,1.41,29,1.80,0.00
M,20,Trossard,6.7,6.7,Arsenal,51,2.97,59,4.01,0,0.00,50,3.55,49,4.69,44,0.81,45,3.04,43,4.14,43,2.02,44,2.67,0.00
M,21,Rice,7.5,7.5,Arsenal,89,4.57,86,4.87,0,0.00,85,4.94,82,6.79,81,1.26,78,4.39,80,6.43,78,2.95,79,4.07,0.48
M,22,Merino,5.4,5.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,23,Fábio Vieira,5.4,5.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,24,Nørgaard,5.1,5.1,Arsenal,8,0.33,10,0.43,0,0.00,10,0.46,12,0.83,13,0.17,14,0.67,16,1.02,17,0.51,16,0.69,0.00
M,25,Nwaneri,5.0,5.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,26,Zubimendi,5.3,5.3,Arsenal,87,3.36,82,3.51,0,0.00,82,3.55,78,5.05,75,0.86,76,3.33,74,4.50,71,2.00,72,2.90,0.00
M,27,Nelson,4.8,4.8,Brentford,3,0.27,3,0.29,3,0.27,5,0.38,6,0.55,7,0.31,6,0.47,7,0.51,7,0.40,7,0.42,0.00
M,28,Kabia,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,29,Sambi,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,30,Havertz,7.3,7.3,Arsenal,33,1.73,52,3.08,0,0.00,63,3.85,62,5.11,60,0.95,60,3.44,59,4.72,57,2.24,59,2.91,0.00
F,31,G.Jesus,6.4,6.4,Arsenal,17,1.06,18,1.20,0,0.00,17,1.19,19,2.01,22,0.42,22,1.51,23,2.27,22,1.07,23,1.40,0.00
G,32,Martinez,5.1,5.1,Aston Villa,94,3.25,94,3.01,92,3.68,92,3.33,92,5.13,91,2.17,90,3.47,90,4.47,89,2.22,89,2.71,0.00
G,33,M.Bizot,4.2,4.2,Aston Villa,0,0.00,0,0.00,3,0.11,3,0.10,3,0.18,4,0.10,5,0.20,5,0.24,6,0.13,6,0.16,0.00
G,34,Gauci,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,35,Marschall,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,36,Cash,4.9,4.9,Aston Villa,89,3.24,84,2.49,83,4.00,81,3.23,78,5.25,75,1.96,75,3.59,74,4.39,75,2.00,75,1.99,0.02
D,37,Digne,4.5,4.5,Aston Villa,21,0.82,25,0.87,27,1.31,27,1.15,29,1.96,31,0.88,29,1.45,32,2.01,33,0.97,33,1.01,0.00
D,38,Konsa,4.4,4.4,Aston Villa,93,2.95,91,2.42,90,3.68,88,3.15,86,5.06,86,2.01,84,3.44,84,4.41,85,1.95,86,2.06,0.01
D,39,Maatsen,4.2,4.2,Aston Villa,75,3.02,72,2.39,68,3.63,67,2.99,65,4.75,61,1.82,63,3.37,60,3.95,61,1.80,60,1.82,0.00
D,40,Mings,4.3,4.3,Aston Villa,53,1.89,52,1.56,51,2.23,52,2.02,53,3.29,52,1.33,53,2.30,49,2.77,50,1.27,48,1.33,0.00
D,41,Pau,4.3,4.3,Aston Villa,40,1.31,43,1.17,44,1.82,43,1.57,43,2.52,45,1.06,43,1.70,47,2.40,46,1.04,47,1.14,0.00
D,42,A.García,3.9,3.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,1,0.11,2,0.08,2,0.10,2,0.15,1,0.05,2,0.07,0.00
D,43,Alex Moreno,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,14,0.46,18,0.56,18,0.73,16,0.60,16,0.88,18,0.42,17,0.69,18,0.92,19,0.47,20,0.57,0.00
D,45,Sousa,3.8,3.8,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,46,Yasin,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,47,Rogers,7.7,7.7,Aston Villa,92,4.25,90,3.67,87,4.85,84,3.86,81,5.83,81,2.46,82,4.64,82,5.42,79,2.71,80,3.08,0.13
M,48,Tielemans,5.9,5.9,Aston Villa,0,0.00,0,0.00,0,0.00,36,1.59,73,4.79,79,2.26,79,4.00,76,4.70,77,2.47,77,2.93,0.00
M,49,Bailey,5.5,5.5,Aston Villa,32,1.71,47,2.17,28,1.69,19,1.06,18,1.48,19,0.70,19,1.22,19,1.50,20,0.83,20,0.99,0.00
M,50,Buendía,5.3,5.3,Aston Villa,72,3.45,74,3.20,62,3.58,51,2.58,44,3.39,43,1.46,42,2.57,42,3.10,42,1.59,43,1.92,0.00
M,51,Iling Jr,5.5,5.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,52,J.Ramsey,5.3,5.3,Newcastle,57,2.47,55,2.16,48,2.29,42,1.86,40,3.06,38,0.40,40,1.88,37,1.94,36,1.47,39,1.70,0.00
M,53,Malen,5.1,5.1,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,54,McGinn,5.4,5.4,Aston Villa,0,0.00,5,0.22,40,1.98,75,3.09,74,4.64,72,1.98,71,3.51,70,4.13,71,2.18,70,2.57,0.00
M,55,Barkley,4.8,4.8,Aston Villa,19,0.96,26,1.22,18,1.08,14,0.74,11,0.87,13,0.48,12,0.74,12,0.86,13,0.50,12,0.58,0.00
M,56,Barrenechea,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,57,Dobbin,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,58,Kamara,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,59,Onana,4.8,4.8,Aston Villa,85,3.06,82,2.86,78,3.13,67,2.60,59,3.26,57,1.44,56,2.31,54,2.81,56,1.54,56,1.97,0.00
M,60,Broggio,4.4,4.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,61,Dendoncker,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,62,Jimoh-Aloba,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,63,Young,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,64,Watkins,8.6,8.6,Aston Villa,64,3.39,66,3.15,61,3.98,58,3.08,59,4.82,57,1.98,57,3.77,57,4.47,58,2.32,60,2.73,0.01
F,65,Redmond,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,66,Neto,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,67,Petrović,4.5,4.5,Bournemouth,92,3.20,91,3.48,89,2.88,87,2.53,85,3.83,83,1.97,82,3.03,82,3.40,78,1.76,81,2.69,0.04
G,68,Dennis,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,69,McKenna,3.9,3.9,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,70,Paulsen,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,71,Zabarnyi,5.0,5.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,72,Senesi,4.9,4.9,Bournemouth,92,3.89,91,4.63,81,3.04,75,2.23,67,3.58,68,2.03,75,3.52,83,4.11,82,2.02,84,3.39,0.19
D,73,Smith,4.4,4.4,Bournemouth,13,0.46,17,0.68,23,0.80,27,0.69,29,1.32,31,0.76,31,1.22,24,1.04,25,0.57,25,0.89,0.00
D,74,Truffert,4.5,4.5,Bournemouth,92,3.34,89,3.93,88,2.67,86,1.87,86,3.71,84,2.19,84,3.45,83,3.39,82,1.61,82,2.76,0.00
D,75,Akinmboni,3.8,3.8,Bournemouth,0,0.00,0,0.00,0,0.00,1,0.02,1,0.05,2,0.04,2,0.05,1,0.04,1,0.02,1,0.04,0.00
D,76,Bevan,3.8,3.8,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,77,Hill,4.1,4.0,Bournemouth,88,3.41,86,3.97,82,2.82,83,2.34,79,3.86,80,2.18,78,3.38,76,3.55,77,1.76,76,2.92,0.11
D,78,J.Araujo,3.8,3.8,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,79,Mepham,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,80,Soler,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,81,Kluivert,7.0,7.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,25,1.74,44,1.69,47,2.51,0.00
M,82,Semenyo,8.1,7.8,Man City,83,5.14,78,4.59,77,0.48,73,3.86,71,6.61,70,2.81,69,4.27,69,7.46,68,3.05,70,4.28,0.08
M,83,O.Dango,5.9,5.9,Brentford,80,4.35,78,5.37,76,4.02,76,4.57,75,5.55,75,2.55,74,4.62,73,3.87,72,3.74,72,3.38,0.62
M,84,Tavernier,5.3,5.3,Bournemouth,84,4.77,85,5.23,83,4.39,81,3.10,80,5.79,77,2.85,77,4.60,75,4.79,73,2.52,73,3.58,0.18
M,85,Adams,4.9,4.9,Bournemouth,77,2.89,73,2.91,68,2.54,63,2.08,57,2.94,54,1.31,54,2.12,52,2.41,52,1.34,52,1.95,0.00
M,86,Brooks,5.0,5.0,Bournemouth,37,2.04,40,2.30,39,2.05,42,1.64,44,3.10,42,1.46,46,2.49,41,2.55,39,1.36,38,1.87,0.00
M,87,Christie,4.9,4.9,Bournemouth,23,1.15,25,1.32,29,1.35,29,1.16,28,1.83,31,0.97,32,1.63,27,1.59,24,0.79,25,1.15,0.00
M,88,Cook,4.9,4.9,Bournemouth,0,0.00,0,0.00,0,0.00,12,0.44,26,1.44,30,0.79,30,1.27,29,1.46,30,0.84,30,1.20,0.00
M,89,Philip,4.9,4.9,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,90,Scott,5.1,5.1,Bournemouth,82,3.42,78,3.49,77,3.07,74,2.48,72,3.92,69,1.87,70,3.03,68,3.35,66,1.84,67,2.62,0.00
M,91,Sinisterra,5.0,5.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,92,Faivre,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,93,H.Traorè,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,94,Sadi,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,95,Silcott-Duberry,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,96,Winterburn,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,97,Evanilson,6.9,6.9,Bournemouth,51,2.81,63,3.77,65,3.43,63,2.48,63,4.53,62,2.21,59,3.47,58,3.73,59,2.11,56,2.81,0.04
F,98,Enes Ünal,5.4,5.4,Bournemouth,9,0.65,9,0.65,10,0.63,12,0.55,12,0.96,14,0.56,15,0.92,13,0.88,12,0.46,10,0.62,0.00
F,99,Adu-Adjei,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,100,Kroupi.Jr,4.7,4.7,Bournemouth,59,3.15,53,3.06,55,2.92,55,2.16,53,3.77,55,1.92,53,2.95,53,3.34,48,1.70,50,2.52,0.08
G,101,Kelleher,4.7,4.7,Brentford,94,3.34,93,4.03,93,3.43,92,3.76,92,4.53,91,2.11,90,3.56,91,3.30,91,3.06,91,2.80,0.10
G,102,Balcombe,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,103,Cox,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,104,Eyestone,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,105,Valdimarsson,3.9,3.9,Brentford,1,0.04,2,0.10,2,0.08,3,0.12,3,0.15,4,0.08,5,0.19,4,0.14,4,0.14,4,0.13,0.00
D,106,Collins,4.9,4.9,Brentford,22,0.90,35,1.98,41,1.90,40,2.13,43,2.59,46,1.18,46,2.37,47,1.88,48,2.06,47,1.62,0.10
D,107,Lewis-Potter,4.8,4.8,Brentford,20,1.00,28,1.85,29,1.46,33,1.93,33,2.27,34,0.94,35,2.07,35,1.53,38,1.85,37,1.37,0.00
D,108,Ajer,4.4,4.4,Brentford,84,3.28,77,4.14,72,3.08,74,3.63,71,3.94,70,1.59,68,3.19,68,2.48,67,2.69,68,2.14,0.00
D,109,Henry,4.3,4.3,Brentford,85,2.71,77,3.84,76,2.73,74,3.25,73,3.65,70,1.31,69,2.92,68,1.98,68,2.48,66,1.66,0.00
D,110,Kayode,4.5,4.5,Brentford,92,3.08,88,4.37,85,3.14,84,3.71,81,4.07,81,1.54,82,3.47,80,2.39,80,2.95,78,2.03,0.00
D,111,Pinnock,4.2,4.2,Brentford,3,0.12,4,0.16,6,0.21,7,0.29,8,0.41,9,0.22,11,0.50,10,0.39,10,0.39,11,0.36,0.00
D,112,Roerslev,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,113,Van den Berg,4.5,4.5,Brentford,88,3.45,82,4.43,79,3.33,78,3.81,78,4.35,75,1.74,75,3.48,75,2.75,74,2.98,76,2.41,0.02
D,114,Arthur,3.8,3.8,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,115,Fredrick,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,116,Hickey,4.0,4.0,Brentford,6,0.25,17,0.83,19,0.81,20,0.98,23,1.31,26,0.60,26,1.22,25,0.93,28,1.07,29,0.91,0.00
D,117,Ji-soo,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,118,Meghoma,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,119,Mbeumo,8.7,8.7,Man Utd,85,4.55,82,4.90,81,4.67,81,5.22,78,5.17,74,3.27,77,4.26,75,4.34,77,4.88,76,4.11,0.48
M,120,Schade,6.9,6.9,Brentford,82,4.46,79,5.51,77,4.09,75,4.56,73,5.52,72,2.44,73,4.73,70,3.64,72,3.74,73,3.38,0.05
M,121,Damsgaard,5.6,5.6,Brentford,68,3.46,66,4.13,58,2.95,51,2.87,51,3.55,52,1.69,53,3.05,52,2.62,52,2.43,54,2.40,0.00
M,122,Milambo,5.2,5.2,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,123,Carvalho,4.7,4.7,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,124,Henderson,5.0,5.0,Brentford,37,1.47,28,1.29,31,1.22,37,1.51,37,1.90,42,1.06,42,1.72,41,1.65,39,1.35,40,1.45,0.00
M,125,Janelt,4.9,4.9,Brentford,56,2.29,72,3.29,71,2.82,72,3.09,68,3.64,63,1.70,65,2.85,64,2.66,67,2.42,67,2.42,0.00
M,126,Jensen,4.9,4.9,Brentford,71,2.91,66,3.23,70,2.86,67,3.01,68,3.78,68,1.82,66,3.02,66,2.74,66,2.50,67,2.45,0.00
M,127,Nunes,4.9,4.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,128,Onyeka,4.8,4.8,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,129,Yarmoliuk,5.0,5.0,Brentford,51,2.11,50,2.35,53,2.15,55,2.41,57,3.11,56,1.54,55,2.48,59,2.49,57,2.15,54,2.06,0.00
M,130,Donovan,4.4,4.4,Brentford,7,0.47,9,0.59,11,0.62,11,0.64,13,0.98,14,0.52,15,0.93,15,0.87,17,0.84,15,0.76,0.00
M,131,Konak,4.3,4.3,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,132,Maghoma,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,133,Peart-Harris,4.4,4.4,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,134,Trevitt,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,135,Wissa,7.3,7.3,Newcastle,33,1.91,39,1.91,37,2.48,39,2.14,40,3.88,40,0.47,40,2.45,41,2.59,42,2.30,42,2.26,0.00
F,136,Thiago,7.1,7.1,Brentford,91,4.86,86,6.00,84,4.34,84,5.07,82,6.14,79,2.65,79,4.91,80,4.12,76,3.87,78,3.62,0.92
F,137,Morgan,4.4,4.4,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,138,Steele,4.2,4.2,Brighton,0,0.00,1,0.05,2,0.07,3,0.10,3,0.17,3,0.05,3,0.10,4,0.22,4,0.11,3,0.09,0.00
G,139,Verbruggen,4.5,4.5,Brighton,95,3.06,94,3.61,93,2.97,92,3.68,91,4.58,92,1.65,92,2.99,90,4.38,91,2.77,92,3.13,0.15
G,140,McGill,3.9,3.9,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,141,Rushworth,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,142,Scherpen,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,143,Boscagli,4.2,4.2,Brighton,15,0.50,22,0.93,27,0.98,35,1.67,40,2.26,39,0.76,35,1.20,34,1.98,34,1.17,36,1.31,0.00
D,144,Coppola,4.2,4.2,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,145,De Cuyper,4.3,4.3,Brighton,21,0.86,24,1.25,28,1.18,28,1.58,33,2.16,33,0.77,36,1.42,34,2.45,34,1.29,32,1.41,0.00
D,146,Dunk,4.5,4.5,Brighton,91,2.57,87,3.53,81,2.48,72,3.16,69,3.43,68,1.18,72,2.13,77,4.15,76,2.33,77,2.50,0.00
D,147,Estupiñan,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,148,F.Kadıoğlu,4.4,4.4,Brighton,88,2.47,86,3.49,83,2.52,80,3.61,76,3.85,75,1.29,76,2.19,74,4.29,73,2.20,71,2.34,0.00
D,149,Igor,4.5,4.5,Brighton,1,0.04,3,0.10,4,0.12,7,0.27,9,0.43,13,0.22,10,0.30,8,0.38,11,0.30,9,0.29,0.00
D,150,Lamptey,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,151,Van Hecke,4.4,4.4,Brighton,94,2.94,89,3.86,88,2.90,85,3.99,82,4.36,81,1.47,82,2.63,83,4.68,84,2.74,83,2.88,0.03
D,152,Veltman,4.3,4.3,Brighton,19,0.62,22,0.95,21,0.73,21,0.99,25,1.36,26,0.51,27,0.92,27,1.59,26,0.88,28,1.02,0.00
D,153,Webster,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,154,Cashin,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,155,Slater,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,156,Tasker,3.8,3.8,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
