Pos,ID,Name,BV,SV,Team,31_xMins,32_xMins,33_xMins,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,31_Pts,32_Pts,33_Pts,34_Pts,35_Pts,36_Pts,37_Pts,38_Pts
G,1,Raya,6.0,6.0,Arsenal,0.00,89.10,178.20,0.00,89.10,89.10,89.10,89.10,0.00,3.93,7.70,0.00,4.23,3.95,4.63,4.27
G,2,Arrizabalaga,4.0,4.0,Arsenal,0.00,1.20,2.40,0.00,1.20,1.20,1.20,1.20,0.00,0.05,0.10,0.00,0.05,0.05,0.06,0.05
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,7.2,7.2,Arsenal,0.00,85.65,171.30,0.00,85.65,85.65,85.65,85.65,0.00,5.35,9.32,0.00,5.39,5.21,6.16,5.51
D,6,Saliba,6.1,6.1,Arsenal,0.00,85.65,171.30,0.00,85.65,85.65,85.65,85.65,0.00,4.20,7.41,0.00,4.45,4.19,5.03,4.40
D,7,Calafiori,5.6,5.6,Arsenal,0.00,22.20,44.40,0.00,22.20,22.20,22.20,22.20,0.00,1.17,2.09,0.00,1.20,1.12,1.34,1.15
D,8,J.Timber,6.3,6.3,Arsenal,0.00,84.00,168.00,0.00,84.00,84.00,84.00,84.00,0.00,4.78,8.09,0.00,5.06,4.62,5.85,4.68
D,10,Lewis-Skelly,5.1,5.1,Arsenal,0.00,9.45,18.90,0.00,9.45,9.45,9.45,9.45,0.00,0.37,0.67,0.00,0.38,0.36,0.39,0.36
D,11,White,5.1,5.1,Arsenal,0.00,4.65,9.30,0.00,4.65,4.65,4.65,4.65,0.00,0.22,0.42,0.00,0.23,0.21,0.24,0.22
D,13,Clarke,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.8,9.8,Arsenal,0.00,77.10,154.20,0.00,77.10,77.10,77.10,77.10,0.00,5.64,9.49,0.00,5.44,5.07,6.23,4.86
M,17,Ødegaard,7.8,7.8,Arsenal,0.00,59.70,119.40,0.00,59.70,59.70,59.70,59.70,0.00,3.39,5.86,0.00,3.27,3.16,3.70,3.00
M,18,Madueke,6.8,6.8,Arsenal,0.00,26.40,52.80,0.00,26.40,26.40,26.40,26.40,0.00,1.65,2.90,0.00,1.65,1.60,1.82,1.46
M,19,Martinelli,6.8,6.8,Arsenal,0.00,19.20,38.40,0.00,19.20,19.20,19.20,19.20,0.00,1.25,2.14,0.00,1.22,1.14,1.38,1.08
M,20,Trossard,6.6,6.6,Arsenal,0.00,60.60,121.20,0.00,60.60,60.60,60.60,60.60,0.00,3.77,6.46,0.00,3.71,3.46,4.21,3.33
M,21,Rice,7.3,7.3,Arsenal,0.00,84.00,168.00,0.00,84.00,84.00,84.00,84.00,0.00,5.10,9.19,0.00,4.87,4.67,5.42,4.61
M,22,Merino,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,24,Nørgaard,5.1,5.1,Arsenal,0.00,4.65,9.30,0.00,4.65,4.65,4.65,4.65,0.00,0.20,0.38,0.00,0.19,0.19,0.21,0.18
M,26,Zubimendi,5.1,5.1,Arsenal,0.00,83.25,166.50,0.00,83.25,83.25,83.25,83.25,0.00,3.31,6.25,0.00,3.25,3.14,3.57,3.12
M,27,Nelson,4.8,4.8,Brentford,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,0.20,0.21,0.24,0.20,0.25,0.18,0.23,0.19
F,30,Havertz,7.3,7.3,Arsenal,0.00,25.80,51.60,0.00,25.80,25.80,25.80,25.80,0.00,1.46,2.51,0.00,1.43,1.32,1.57,1.30
