Pos,ID,Name,BV,SV,Team,36_xMins,37_xMins,38_xMins,36_Pts,37_Pts,38_Pts
G,102,Balcombe,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00
G,104,Eyestone,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00
G,105,Valdimarsson,3.8,3.8,Brentford,0.90,0.90,0.90,0.02,0.03,0.02
D,106,Collins,4.9,4.9,Brentford,85.05,85.05,85.05,2.26,4.30,3.02
D,107,Lewis-Potter,4.8,4.8,Brentford,77.10,77.10,77.10,2.20,4.53,2.73
D,108,Ajer,4.4,4.4,Brentford,15.45,15.45,15.45,0.48,0.72,0.56
D,109,Henry,4.3,4.3,Brentford,0.00,0.00,0.00,0.00,0.00,0.00
D,110,Kayode,4.6,4.6,Brentford,85.35,85.35,85.35,1.79,3.92,2.38
D,111,Pinnock,4.2,4.2,Brentford,2.40,2.40,2.40,0.09,0.12,0.10
D,113,Van den Berg,4.5,4.5,Brentford,85.05,85.05,85.05,2.21,4.22,2.95
D,116,Hickey,4.0,4.0,Brentford,9.75,9.75,9.75,0.30,0.43,0.33
M,119,Mbeumo,8.4,8.4,Man Utd,68.10,68.10,68.10,3.94,4.25,3.50
M,120,Schade,6.9,6.9,Brentford,78.45,78.45,78.45,3.21,4.60,3.41
M,121,Damsgaard,5.6,5.6,Brentford,82.20,69.60,69.60,3.42,3.77,3.11
M,122,Milambo,5.2,5.2,Brentford,0.00,0.00,0.00,0.00,0.00,0.00
M,123,Carvalho,4.6,4.6,Brentford,0.00,0.00,0.00,0.00,0.00,0.00
M,124,Henderson,5.0,5.0,Brentford,31.05,56.85,56.85,1.05,2.23,1.98
M,125,Janelt,4.9,4.9,Brentford,38.25,48.45,48.45,1.53,2.28,2.02
M,126,Jensen,4.9,4.9,Brentford,83.25,80.55,80.55,3.01,3.68,3.05
M,129,Yarmoliuk,5.0,5.0,Brentford,83.55,63.30,63.30,3.00,2.54,2.35
M,130,Donovan,4.4,4.4,Brentford,6.00,6.00,6.00,0.25,0.33,0.28
F,135,Wissa,7.3,7.3,Newcastle,18.00,18.00,18.00,0.98,1.13,1.00
F,136,Thiago,7.4,7.4,Brentford,84.15,84.15,84.15,3.71,5.34,3.93
G,138,Steele,4.2,4.2,Brighton,0.90,0.90,0.90,0.04,0.03,0.03
G,139,Verbruggen,4.5,4.5,Brighton,89.10,89.10,89.10,3.98,3.23,3.41
G,140,McGill,3.9,3.9,Brighton,0.00,0.00,0.00,0.00,0.00,0.00
D,143,Boscagli,4.2,4.2,Brighton,79.65,79.65,79.65,4.29,3.43,3.16
D,145,De Cuyper,4.3,4.3,Brighton,37.80,15.75,15.75,2.57,0.74,0.75
D,146,Dunk,4.5,4.5,Brighton,14.40,14.40,14.40,0.69,0.58,0.56
D,148,F.Kadıoğlu,4.4,4.4,Brighton,85.35,85.35,85.35,4.65,3.30,3.14
D,149,Igor,4.5,4.5,Brighton,0.00,0.00,0.00,0.00,0.00,0.00
D,151,Van Hecke,4.6,4.6,Brighton,87.45,87.45,87.45,4.92,4.01,3.68
D,152,Veltman,4.3,4.3,Brighton,31.95,16.65,16.65,1.70,0.71,0.67
D,153,Webster,4.4,4.4,Brighton,0.00,0.00,0.00,0.00,0.00,0.00
D,156,Tasker,3.8,3.8,Brighton,0.30,0.30,0.30,0.01,0.01,0.01
M,157,Mitoma,6.1,6.1,Brighton,69.90,43.80,43.80,4.52,2.25,2.22
M,158,Georginio,5.6,5.6,Brighton,21.60,21.60,21.60,1.36,1.11,1.09
M,159,March,5.8,5.8,Brighton,3.00,3.00,3.00,0.17,0.14,0.15
M,160,Minteh,5.5,5.5,Brighton,72.00,66.30,66.30,4.58,3.37,3.30
M,163,Hinshelwood,5.1,5.1,Brighton,79.80,79.80,79.80,4.18,3.38,3.26
M,164,O'Riley,5.5,5.5,Brighton,1.50,1.50,1.50,0.09,0.08,0.07
M,166,Ayari,4.8,4.8,Brighton,30.30,30.30,30.30,1.56,1.33,1.34
M,167,Baleba,4.5,4.5,Brighton,27.60,27.60,27.60,1.18,1.06,1.06
M,168,Buonanotte,4.6,4.6,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00
M,169,Gomez,4.9,4.9,Brighton,41.10,71.70,71.70,2.72,3.76,3.81
M,170,Milner,4.9,4.9,Brighton,35.10,35.10,35.10,1.72,1.45,1.44
M,173,Wieffer,4.9,4.9,Brighton,39.90,80.70,80.70,1.92,3.81,3.42
F,178,Welbeck,6.3,6.3,Brighton,75.75,75.75,75.75,5.62,4.25,4.15
F,180,Tzimas,5.2,5.2,Brighton,0.00,0.00,0.00,0.00,0.00,0.00
F,181,Kostoulas,4.8,4.8,Brighton,19.80,19.80,19.80,1.30,1.08,1.03
G,182,Trafford,4.5,4.5,Man City,3.60,1.80,1.80,0.14,0.06,0.07
G,183,Weiss,4.2,4.2,Burnley,0.90,0.90,0.90,0.03,0.02,0.04
G,185,Hladký,3.9,3.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00
D,186,Roberts,4.3,4.3,Burnley,0.00,0.00,0.00,0.00,0.00,0.00
D,187,Walker,4.4,4.4,Burnley,74.10,74.10,74.10,1.88,1.09,2.74
D,190,Ekdal,3.8,3.8,Burnley,45.75,45.75,45.75,1.64,1.27,2.15
D,191,Estève,3.9,3.9,Burnley,87.45,87.45,87.45,2.92,2.20,3.94
D,192,Hartman,4.0,4.0,Burnley,71.40,71.40,71.40,2.37,1.63,3.29
D,193,Humphreys,3.9,3.9,Burnley,85.20,85.20,85.20,2.50,1.73,3.50
D,194,Jordan,3.9,3.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00
D,195,Lucas Pires,3.8,3.8,Burnley,14.25,14.25,14.25,0.48,0.35,0.59
D,198,Tuanzebe,3.9,3.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00
D,199,Worrall,3.8,3.8,Burnley,13.95,13.95,13.95,0.51,0.45,0.61
M,200,Anthony,5.0,5.0,Burnley,80.40,80.40,80.40,3.60,2.83,4.35
M,202,Bruun Larsen,5.2,5.2,Burnley,9.60,9.60,9.60,0.41,0.36,0.46
M,203,Boateng,4.7,4.7,Burnley,0.00,0.00,0.00,0.00,0.00,0.00
M,205,Cullen,4.9,4.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00
M,206,Edwards,4.7,4.7,Burnley,30.60,30.60,30.60,1.38,1.14,1.60
M,207,Hannibal,4.7,4.7,Burnley,51.45,51.45,51.45,1.86,1.54,2.11
M,209,Laurent,4.8,4.8,Burnley,70.35,70.35,70.35,2.15,1.88,2.31
M,210,Tchaouna,4.8,4.8,Burnley,46.50,46.50,46.50,1.85,1.57,2.17
M,214,Trésor,4.3,4.3,Burnley,5.70,5.70,5.70,0.23,0.22,0.25
F,215,Flemming,5.3,5.3,Burnley,81.90,81.90,81.90,3.50,2.87,4.18
F,216,Amdouni,4.8,4.8,Burnley,6.00,6.00,6.00,0.28,0.25,0.33
F,217,Foster,4.9,4.9,Burnley,22.05,22.05,22.05,0.96,0.82,1.10
F,218,Barnes,4.2,4.2,Burnley,1.50,1.50,1.50,0.07,0.06,0.08
G,220,Sánchez,4.8,4.8,Chelsea,4.50,89.10,89.10,0.12,3.44,3.56
G,221,Jörgensen,4.3,4.3,Chelsea,85.50,0.90,0.90,2.27,0.03,0.04
G,223,Slonina,3.9,3.9,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00
D,224,Cucurella,6.1,6.1,Chelsea,74.40,74.40,74.40,2.21,3.36,3.38
D,225,James,5.6,5.6,Chelsea,35.25,35.25,35.25,1.26,1.80,1.79
D,226,Chalobah,5.4,5.4,Chelsea,85.95,85.95,85.95,2.82,4.04,4.07
D,227,Colwill,4.7,4.7,Chelsea,6.00,6.00,6.00,0.20,0.21,0.21
D,228,Gusto,4.9,4.9,Chelsea,64.20,64.20,64.20,2.23,3.45,3.45
D,229,B.Badiashile,4.4,4.4,Chelsea,11.25,11.25,11.25,0.44,0.54,0.55
D,230,Fofana,4.4,4.4,Chelsea,51.00,51.00,51.00,1.98,2.58,2.66
D,231,M.Sarr,4.5,4.5,Chelsea,11.10,11.10,11.10,0.41,0.51,0.51
D,232,Tosin,4.0,4.0,Chelsea,15.75,15.75,15.75,0.59,0.68,0.69
D,233,Acheampong,3.7,3.7,Chelsea,11.25,11.25,11.25,0.44,0.55,0.56
M,235,Palmer,10.4,10.4,Chelsea,80.40,80.40,80.40,4.26,5.32,4.86
M,236,Neto,7.0,7.0,Chelsea,72.45,72.45,72.45,3.27,3.96,3.70
M,237,Enzo,6.5,6.5,Chelsea,81.90,81.90,81.90,3.55,4.33,3.94
M,238,Estêvão,6.4,6.4,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00
M,239,Gittens,6.0,6.0,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00
M,241,Caicedo,5.7,5.7,Chelsea,84.90,84.90,84.90,3.25,3.55,3.33
M,242,Dewsbury-Hall,5.2,5.2,Everton,83.85,83.85,83.85,3.97,4.50,3.89
M,243,George,4.8,4.8,Everton,13.20,13.20,13.20,0.59,0.65,0.58
M,244,Lavia,4.9,4.9,Chelsea,25.05,25.05,25.05,0.85,0.96,0.91
M,245,Mudryk,4.9,4.9,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00
M,246,Andrey Santos,4.5,4.5,Chelsea,40.80,40.80,40.80,1.63,1.84,1.73
M,247,D.Essugo,4.3,4.3,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00
F,249,João Pedro,7.5,7.5,Chelsea,77.85,77.85,77.85,3.99,4.81,4.39
F,250,Delap,6.2,6.2,Chelsea,26.55,26.55,26.55,1.36,1.55,1.41
F,252,Marc Guiu,4.0,4.0,Chelsea,1.50,1.50,1.50,0.08,0.09,0.08
G,253,Henderson,5.1,5.1,Crystal Palace,176.40,88.20,88.20,5.67,2.47,2.89
G,254,Benitez,3.9,3.9,Crystal Palace,3.60,1.80,1.80,0.11,0.05,0.06
G,255,Matthews,3.9,3.9,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00
D,256,Muñoz,5.9,5.9,Crystal Palace,172.20,86.10,86.10,6.59,3.19,3.07
D,257,Lacroix,5.2,5.2,Crystal Palace,172.20,86.10,86.10,6.95,3.54,3.56
D,258,Mitchell,5.0,5.0,Crystal Palace,165.90,82.95,82.95,5.32,2.65,2.69
D,259,Sosa,4.8,4.8,Crystal Palace,18.60,9.30,9.30,0.76,0.39,0.37
D,260,Guéhi,5.1,5.1,Man City,162.60,81.30,81.30,8.82,3.87,4.23
D,261,Richards,4.4,4.4,Crystal Palace,164.40,82.20,82.20,6.12,3.15,3.14
D,262,Chadi Riad,4.0,4.0,Crystal Palace,28.20,14.10,14.10,1.00,0.52,0.51
D,263,Clyne,3.8,3.8,Crystal Palace,4.50,2.25,2.25,0.18,0.09,0.09
D,265,Kporha,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00
M,266,Eze,7.3,7.3,Arsenal,58.95,58.95,58.95,3.49,4.59,3.32
M,267,Sarr,6.4,6.4,Crystal Palace,108.30,54.15,54.15,5.00,2.58,2.26
M,268,Doucouré,4.9,4.9,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00
M,270,Hughes,4.7,4.7,Crystal Palace,117.30,58.65,58.65,3.75,1.88,1.78
M,271,Kamada,5.0,5.0,Crystal Palace,87.60,43.80,43.80,3.35,1.68,1.56
M,272,Lerma,4.9,4.9,Crystal Palace,119.70,59.85,59.85,4.39,2.20,2.05
M,273,Wharton,5.0,5.0,Crystal Palace,113.10,56.55,56.55,4.58,2.34,2.08
M,274,Agbinone,4.3,4.3,Crystal Palace,0.60,0.30,0.30,0.03,0.01,0.01
M,276,Devenny,4.3,4.3,Crystal Palace,18.30,9.15,9.15,0.80,0.40,0.38
M,281,Rodney,4.4,4.4,Crystal Palace,0.60,0.30,0.30,0.03,0.01,0.01
F,283,Mateta,7.6,7.6,Crystal Palace,72.90,36.45,36.45,3.67,1.90,1.66
F,284,Nketiah,5.4,5.4,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00
F,286,Marsh,4.4,4.4,Crystal Palace,0.60,0.30,0.30,0.03,0.02,0.01
G,287,Pickford,5.6,5.6,Everton,89.10,89.10,89.10,3.46,3.78,3.21
G,288,Travers,4.2,4.2,Everton,0.90,0.90,0.90,0.03,0.04,0.03
D,290,Branthwaite,5.3,5.3,Everton,0.00,0.00,0.00,0.00,0.00,0.00
D,291,Tarkowski,5.7,5.7,Everton,87.45,87.45,87.45,4.52,4.79,4.05
D,292,Mykolenko,4.9,4.9,Everton,85.20,85.20,85.20,3.73,4.11,3.32
D,293,O'Brien,4.9,4.9,Everton,85.95,85.95,85.95,3.39,3.81,3.02
D,294,Coleman,4.2,4.2,Everton,2.40,2.40,2.40,0.09,0.09,0.09
D,295,Keane,4.5,4.5,Everton,86.70,86.70,86.70,4.64,4.87,4.16
D,296,Patterson,4.4,4.4,Everton,5.25,5.25,5.25,0.22,0.25,0.20
D,298,Welch,3.8,3.8,Everton,0.00,0.00,0.00,0.00,0.00,0.00
M,299,Ndiaye,6.2,6.2,Everton,83.25,83.25,83.25,4.54,5.16,4.46
M,300,McNeil,5.5,5.5,Everton,69.75,69.75,69.75,3.11,3.46,3.07
M,301,Alcaraz,5.2,5.2,Everton,12.45,12.45,12.45,0.59,0.63,0.55
M,302,Gana,5.4,5.4,Everton,60.60,81.30,81.30,2.15,3.04,2.95
M,303,Garner,5.2,5.2,Everton,87.00,87.00,87.00,4.25,4.52,4.34
M,304,Iroegbunam,4.8,4.8,Everton,37.20,18.30,18.30,1.36,0.67,0.67
M,305,Armstrong,4.5,4.5,Everton,19.65,19.65,19.65,0.82,0.91,0.80
M,306,Bates,4.3,4.3,Everton,0.30,0.30,0.30,0.01,0.01,0.01
M,307,Ebere,4.4,4.4,Everton,0.30,0.30,0.30,0.01,0.02,0.01
F,310,Barry,5.7,5.7,Everton,27.90,27.90,27.90,1.41,1.62,1.35
F,311,Beto,5.0,5.0,Everton,71.70,71.70,71.70,3.53,4.03,3.35
G,314,Leno,4.9,4.9,Fulham,89.10,89.10,89.10,2.70,3.15,3.16
D,316,Robinson,4.9,4.9,Fulham,85.05,34.05,34.05,3.42,1.67,1.55
D,317,Andersen,4.5,4.5,Fulham,85.05,85.05,85.05,3.51,4.05,3.75
D,318,Bassey,4.4,4.4,Fulham,81.00,81.00,81.00,2.71,3.24,2.94
D,319,Castagne,4.3,4.3,Fulham,26.10,26.10,26.10,1.02,1.18,1.10
D,320,Diop,4.3,4.3,Fulham,7.05,7.05,7.05,0.28,0.31,0.29
D,321,J.Cuenca,4.3,4.3,Fulham,23.55,11.25,11.25,1.05,0.56,0.51
D,322,Tete,4.5,4.5,Fulham,70.20,70.20,70.20,2.78,3.27,2.97
D,323,Amissah,3.8,3.8,Fulham,1.50,1.50,1.50,0.06,0.06,0.06
M,324,Iwobi,6.2,6.2,Fulham,0.00,61.35,61.35,0.00,2.79,2.62
M,325,Smith Rowe,5.6,5.6,Fulham,64.80,64.80,64.80,3.16,3.39,3.16
M,326,Adama,5.1,5.1,West Ham,21.45,21.45,21.45,0.90,0.98,0.98
M,328,Sessegnon,5.4,5.4,Fulham,0.00,61.20,61.20,0.00,2.76,2.61
M,329,Wilson,5.9,5.9,Fulham,74.40,74.40,74.40,4.23,4.53,4.16
M,330,Berge,4.9,4.9,Fulham,63.60,79.80,79.80,2.10,2.71,2.66
M,331,Cairney,4.8,4.8,Fulham,52.80,13.20,13.20,2.08,0.56,0.55
M,332,Lukić,4.9,4.9,Fulham,77.10,40.80,40.80,2.98,1.66,1.61
M,335,King,4.4,4.4,Fulham,42.00,42.00,42.00,1.95,2.09,1.96
M,336,Reed,4.3,4.3,Fulham,1.50,1.50,1.50,0.06,0.06,0.06
F,337,Raúl,6.0,6.0,Fulham,65.40,65.40,65.40,3.63,3.85,3.55
F,338,Muniz,5.3,5.3,Fulham,30.00,30.00,30.00,1.56,1.65,1.55
G,339,Meslier,4.1,4.1,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00
G,340,Cairns,3.9,3.9,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00
G,341,Darlow,4.0,4.0,Leeds United,89.10,89.10,89.10,2.70,2.83,3.04
D,342,Bogle,4.4,4.4,Leeds United,82.50,82.50,82.50,2.73,2.92,3.08
D,343,Struijk,4.4,4.4,Leeds United,86.85,86.85,86.85,3.32,3.35,3.50
D,344,Bijol,3.9,3.9,Leeds United,80.25,30.75,30.75,3.26,1.31,1.34
D,345,Bornauw,3.8,3.8,Leeds United,3.00,3.00,3.00,0.11,0.11,0.11
D,346,Byram,3.7,3.7,Leeds United,1.50,1.50,1.50,0.05,0.05,0.05
D,347,Gudmundsson,3.8,3.8,Leeds United,0.00,79.50,79.50,0.00,2.91,3.03
D,348,Rodon,3.9,3.9,Leeds United,86.85,86.85,86.85,3.15,3.21,3.36
M,350,Aaronson,5.4,5.4,Leeds United,69.75,69.75,69.75,3.16,3.37,3.31
M,351,Gnonto,5.1,5.1,Leeds United,9.15,9.15,9.15,0.47,0.45,0.47
M,353,James,5.2,5.2,Leeds United,12.15,12.15,12.15,0.61,0.62,0.62
M,354,Ampadu,4.9,4.9,Leeds United,86.70,86.70,86.70,3.42,3.19,3.25
M,356,Gruev,4.7,4.7,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00
M,358,Tanaka,4.8,4.8,Leeds United,79.50,58.80,58.80,3.32,2.51,2.51
F,362,Piroe,4.9,4.9,Leeds United,1.50,1.50,1.50,0.08,0.08,0.08
F,365,Nmecha,5.0,5.0,Leeds United,18.15,18.15,18.15,0.99,1.08,1.04
G,366,A.Becker,5.4,5.4,Liverpool,45.00,89.10,89.10,1.53,3.24,3.34
G,367,Mamardashvili,4.1,4.1,Liverpool,0.00,0.90,0.90,0.00,0.03,0.03
G,368,Pécsi,3.8,3.8,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00
G,369,Woodman,3.9,3.9,Liverpool,45.00,0.00,0.00,1.51,0.00,0.00
D,370,Frimpong,5.7,5.7,Liverpool,68.40,61.35,61.35,3.07,2.73,3.04
D,371,Kerkez,5.6,5.6,Liverpool,53.40,53.40,53.40,2.30,2.26,2.59
D,372,Robertson,5.7,5.7,Liverpool,40.20,40.20,40.20,1.75,1.71,1.90
D,373,Virgil,6.1,6.1,Liverpool,87.45,87.45,87.45,3.68,3.83,4.34
D,374,Konaté,5.5,5.5,Liverpool,83.85,83.85,83.85,3.36,3.51,4.04
D,375,Bradley,4.9,4.9,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00
D,376,Gomez,4.9,4.9,Liverpool,18.45,18.45,18.45,0.76,0.77,0.85
D,378,Nallo,3.7,3.7,Liverpool,0.30,0.30,0.30,0.01,0.01,0.01
D,379,R.Williams,3.7,3.7,Liverpool,0.30,0.30,0.30,0.01,0.01,0.01
D,380,Ramsay,3.7,3.7,Liverpool,0.30,0.30,0.30,0.01,0.01,0.01
M,381,M.Salah,14.0,14.0,Liverpool,45.15,79.05,79.05,3.09,5.07,5.46
M,382,Wirtz,8.3,8.3,Liverpool,77.85,77.70,77.70,4.58,4.30,4.58
M,384,Gakpo,7.3,7.3,Liverpool,75.75,75.75,75.75,4.46,4.21,4.47
M,385,Chiesa,6.3,6.3,Liverpool,2.70,2.70,2.70,0.15,0.15,0.15
M,386,Mac Allister,6.2,6.2,Liverpool,61.05,59.85,59.85,2.49,2.39,2.46
M,387,Szoboszlai,7.0,7.0,Liverpool,86.85,86.85,86.85,4.67,4.39,4.60
M,388,C.Jones,5.4,5.4,Liverpool,55.20,31.80,31.80,2.55,1.47,1.55
M,389,Elliott,5.1,5.1,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00
M,390,Gravenberch,5.4,5.4,Liverpool,83.25,83.25,83.25,3.06,3.20,3.16
M,391,Gannon-Doak,4.8,4.8,Bournemouth,10.95,10.95,10.95,0.55,0.52,0.53
M,392,Endo,4.9,4.9,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00
M,393,Bajcetic,4.2,4.2,Liverpool,0.30,0.30,0.30,0.02,0.01,0.02
M,396,Nyoni,4.3,4.3,Liverpool,0.30,0.30,0.30,0.01,0.01,0.01
F,398,Danns,4.3,4.3,Liverpool,0.30,0.30,0.30,0.02,0.02,0.02
G,400,Ortega Moreno,4.7,4.7,Nott'm Forest,1.80,1.80,1.80,0.06,0.05,0.06
G,401,Bettinelli,3.8,3.8,Man City,0.00,0.00,0.00,0.00,0.00,0.00
D,402,Aït-Nouri,5.7,5.7,Man City,88.50,42.60,42.60,5.13,2.10,2.40
D,403,Gvardiol,5.8,5.8,Man City,0.00,0.00,0.00,0.00,0.00,0.00
D,405,Aké,5.2,5.2,Man City,19.50,9.75,9.75,0.90,0.43,0.45
D,406,Khusanov,5.4,5.4,Man City,150.60,71.40,71.40,7.66,3.25,3.57
D,407,Matheus N.,5.3,5.3,Man City,161.70,80.85,80.85,8.11,3.48,3.96
D,408,Rúben,5.5,5.5,Man City,72.15,39.90,39.90,3.38,1.66,1.82
D,409,Stones,5.4,5.4,Man City,6.00,3.00,3.00,0.25,0.11,0.12
D,410,Lewis,4.6,4.6,Man City,3.00,1.50,1.50,0.14,0.06,0.07
D,411,O'Reilly,5.2,5.2,Man City,162.30,81.15,81.15,9.75,4.08,4.72
